Review,Liked,CleanedText,ProcessedText,Sentiment
Wow... Loved this place.,1,Wow Loved this place,wow loved place,positive
Crust is not good.,0,Crust is not good,crust good,negative
Not tasty and the texture was just nasty.,0,Not tasty and the texture was just nasty,tasty texture nasty,negative
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it,stopped late may bank holiday rick steve recommendation loved,positive
The selection on the menu was great and so were the prices.,1,The selection on the menu was great and so were the prices,selection menu great price,positive
Now I am getting angry and I want my damn pho.,0,Now I am getting angry and I want my damn pho,getting angry want damn pho,negative
Honeslty it didn't taste THAT fresh.),0,Honeslty it didnt taste THAT fresh,honeslty didnt taste fresh,negative
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer,potato like rubber could tell made ahead time kept warmer,negative
The fries were great too.,1,The fries were great too,fry great,positive
A great touch.,1,A great touch,great touch,positive
Service was very prompt.,1,Service was very prompt,service prompt,positive
Would not go back.,0,Would not go back,would go back,negative
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced,cashier care ever say still ended wayyy overpriced,negative
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1,I tried the Cape Cod ravoli chicken with cranberrymmmm,tried cape cod ravoli chicken cranberrymmmm,positive
I was disgusted because I was pretty sure that was human hair.,0,I was disgusted because I was pretty sure that was human hair,disgusted pretty sure human hair,negative
I was shocked because no signs indicate cash only.,0,I was shocked because no signs indicate cash only,shocked sign indicate cash,negative
Highly recommended.,1,Highly recommended,highly recommended,positive
Waitress was a little slow in service.,0,Waitress was a little slow in service,waitress little slow service,negative
"This place is not worth your time, let alone Vegas.",0,This place is not worth your time let alone Vegas,place worth time let alone vega,negative
did not like at all.,0,did not like at all,like,negative
The Burrittos Blah!,0,The Burrittos Blah,burrittos blah,negative
"The food, amazing.",1,The food amazing,food amazing,positive
Service is also cute.,1,Service is also cute,service also cute,positive
I could care less... The interior is just beautiful.,1,I could care less The interior is just beautiful,could care less interior beautiful,positive
So they performed.,1,So they performed,performed,positive
That's right....the red velvet cake.....ohhh this stuff is so good.,1,Thats rightthe red velvet cakeohhh this stuff is so good,thats rightthe red velvet cakeohhh stuff good,positive
- They never brought a salad we asked for.,0, They never brought a salad we asked for,never brought salad asked,negative
"This hole in the wall has great Mexican street tacos, and friendly staff.",1,This hole in the wall has great Mexican street tacos and friendly staff,hole wall great mexican street taco friendly staff,positive
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,Took an hour to get our food only  tables in restaurant my food was Luke warm Our sever was running around like he was totally overwhelmed,took hour get food table restaurant food luke warm sever running around like totally overwhelmed,negative
